timestamp,open,high,low,close,volume
1748208060,107812.0,107815.0,107798.0,107798.0,0.69879502
1748208120,107773.0,107773.0,107706.0,107708.0,0.01344899
1748208180,107658.0,107658.0,107510.0,107523.0,15.7973139
1748208240,107568.0,107573.0,107561.0,107573.0,0.02745587
1748208300,107578.0,107578.0,107509.0,107509.0,0.35321999
1748208360,107509.0,107509.0,107484.0,107484.0,0.70517942
1748208420,107483.0,107535.0,107481.0,107535.0,0.65185316
1748208480,107535.0,107535.0,107535.0,107535.0,0.0
1748208540,107596.0,107596.0,107516.0,107516.0,0.00949903
1748208600,107489.0,107489.0,107481.0,107484.0,0.51196689
1748208660,107483.0,107483.0,107227.0,107227.0,8.35942088
1748208720,107249.0,107375.0,107241.0,107375.0,0.39571322
1748208780,107374.0,107401.0,107374.0,107401.0,0.06530245
1748208840,107414.0,107468.0,107414.0,107468.0,0.11308
1748208900,107451.0,107451.0,107412.0,107416.0,0.00781953
1748208960,107412.0,107473.0,107412.0,107473.0,0.00292775
1748209020,107475.0,107475.0,107426.0,107426.0,0.01139915
1748209080,107414.0,107414.0,107394.0,107394.0,0.002458
1748209140,107446.0,107463.0,107446.0,107463.0,0.01120168
1748209200,107472.0,107483.0,107465.0,107483.0,0.00413999
1748209260,107484.0,107484.0,107424.0,107424.0,0.43630381
1748209320,107403.0,107435.0,107403.0,107435.0,0.09565708
1748209380,107437.0,107437.0,107436.0,107436.0,0.00685295
1748209440,107426.0,107483.0,107426.0,107483.0,0.09853787
1748209500,107438.0,107468.0,107438.0,107468.0,0.15292573
1748209560,107468.0,107468.0,107468.0,107468.0,0.05284657
1748209620,107495.0,107495.0,107494.0,107495.0,0.047758
1748209680,107494.0,107504.0,107494.0,107504.0,0.11216114
1748209740,107504.0,107600.0,107504.0,107600.0,0.54870383
1748209800,107586.0,107612.0,107585.0,107612.0,0.88199928
1748209860,107611.0,107624.0,107611.0,107624.0,12.43549287
1748209920,107625.0,107638.0,107625.0,107638.0,0.57646317
1748209980,107638.0,107690.0,107638.0,107690.0,2.15310475
1748210040,107690.0,107690.0,107685.0,107685.0,0.00174044
1748210100,107684.0,107684.0,107677.0,107677.0,0.20143947
1748210160,107678.0,107683.0,107677.0,107680.0,0.12184974
1748210220,107677.0,107679.0,107670.0,107674.0,0.039218
1748210280,107616.0,107616.0,107613.0,107613.0,0.00043345
1748210340,107475.0,107510.0,107475.0,107510.0,0.05191045
1748210400,107510.0,107510.0,107417.0,107417.0,0.81935314
1748210460,107416.0,107528.0,107416.0,107528.0,0.39888763
1748210520,107463.0,107585.0,107463.0,107574.0,0.36201132
1748210580,107585.0,107716.0,107585.0,107710.0,2.21872464
1748210640,107710.0,107710.0,107650.0,107666.0,0.08388965
1748210700,107627.0,107677.0,107627.0,107677.0,0.04809874
1748210760,107677.0,107728.0,107659.0,107728.0,0.71369456
1748210820,107733.0,107806.0,107671.0,107806.0,2.94317241
1748210880,107806.0,107897.0,107806.0,107897.0,4.35742233
1748210940,107821.0,108391.0,107813.0,108184.0,20.27721144
1748211000,108216.0,108490.0,108202.0,108484.0,8.47656516
1748211060,108492.0,108611.0,108454.0,108611.0,6.65299535
1748211120,108615.0,108702.0,108522.0,108702.0,4.29104822
1748211180,108607.0,108728.0,108607.0,108728.0,2.07014793
1748211240,108672.0,108678.0,108376.0,108376.0,1.02267603
1748211300,108454.0,108726.0,108444.0,108593.0,1.0776169
1748211360,108481.0,108573.0,108481.0,108573.0,0.07031453
1748211420,108372.0,108372.0,108372.0,108372.0,0.07990754
1748211480,108364.0,108364.0,108312.0,108313.0,15.48812448
1748211540,108388.0,108392.0,108338.0,108351.0,0.00847014
1748211600,108316.0,108316.0,108195.0,108195.0,4.50934446
1748211660,108195.0,108297.0,108182.0,108297.0,0.38571887
1748211720,108298.0,108459.0,108298.0,108459.0,0.37230745
1748211780,108502.0,108553.0,108478.0,108547.0,1.15772099
1748211840,108554.0,108554.0,108497.0,108526.0,0.49860836
1748211900,108521.0,108560.0,108418.0,108560.0,6.06674618
1748211960,108513.0,108513.0,108402.0,108402.0,0.03395012
1748212020,108400.0,108400.0,108314.0,108336.0,0.65899673
1748212080,108343.0,108343.0,108335.0,108335.0,0.01622373
1748212140,108354.0,108366.0,108354.0,108366.0,0.0010939
1748212200,108376.0,108558.0,108376.0,108514.0,0.01688639
1748212260,108509.0,108509.0,108432.0,108451.0,1.32691392
1748212320,108423.0,108509.0,108399.0,108509.0,0.01521302
1748212380,108488.0,108488.0,108488.0,108488.0,0.000113
1748212440,108461.0,108528.0,108461.0,108528.0,0.36615542
1748212500,108459.0,108459.0,108459.0,108459.0,0.08
1748212560,108372.0,108407.0,108339.0,108407.0,0.00540951
1748212620,108407.0,108407.0,108407.0,108407.0,0.0
1748212680,108380.0,108462.0,108380.0,108433.0,0.23360145
1748212740,108453.0,108473.0,108415.0,108473.0,0.23776667
1748212800,108579.0,108583.0,108545.0,108583.0,0.17056262
1748212860,108611.0,108611.0,108581.0,108582.0,0.48236754
1748212920,108561.0,108592.0,108561.0,108592.0,0.46214204
1748212980,108584.0,108640.0,108584.0,108613.0,16.80765147
1748213040,108639.0,108676.0,108609.0,108676.0,1.74394781
1748213100,108650.0,108689.0,108622.0,108689.0,0.60660169
1748213160,108688.0,108689.0,108627.0,108636.0,0.57189
1748213220,108602.0,108613.0,108582.0,108598.0,0.4846509
1748213280,108589.0,108702.0,108589.0,108700.0,0.72413629
1748213340,108677.0,108717.0,108634.0,108717.0,1.45254728
1748213400,108728.0,108846.0,108728.0,108846.0,3.32962753
1748213460,108845.0,108927.0,108809.0,108927.0,5.54448972
1748213520,108928.0,109090.0,108928.0,109079.0,11.44915074
1748213580,109089.0,109089.0,109000.0,109025.0,1.32807352
1748213640,109018.0,109047.0,108964.0,108988.0,0.99268648
1748213700,109013.0,109144.0,109004.0,109144.0,1.40162027
1748213760,109150.0,109173.0,109129.0,109173.0,4.26959499
1748213820,109167.0,109230.0,109167.0,109230.0,4.89297377
1748213880,109236.0,109236.0,109174.0,109194.0,0.60865
1748213940,109208.0,109282.0,109182.0,109221.0,10.16777316
1748214000,109219.0,109383.0,109219.0,109298.0,6.89906623
1748214060,109317.0,109317.0,109120.0,109120.0,0.4040249
1748214120,109145.0,109170.0,109098.0,109098.0,0.32437525
1748214180,109079.0,109079.0,108983.0,109002.0,0.5530996
1748214240,109053.0,109132.0,109053.0,109120.0,5.31391066
1748214300,109121.0,109185.0,109104.0,109185.0,0.01055755
1748214360,109173.0,109173.0,109073.0,109073.0,0.22155061
1748214420,109072.0,109135.0,109071.0,109135.0,0.09056271
1748214480,109108.0,109122.0,109101.0,109101.0,0.38868395
1748214540,109089.0,109169.0,109085.0,109142.0,0.06792924
1748214600,109078.0,109092.0,109042.0,109049.0,0.06214267
1748214660,109080.0,109097.0,109059.0,109086.0,1.00853726
1748214720,109082.0,109082.0,109038.0,109038.0,0.11314427
1748214780,109066.0,109072.0,108986.0,108986.0,0.25674813
